country,iso3,yearbirth,durw_lag3,durw_lag2,durw_lag1,durw,durw_lead1,durw_lead2,durw_lead3,ftew_lag3,ftew_lag2,ftew_lag1,ftew,ftew_lead1,ftew_lead2,ftew_lead3,ilow_lag3,ilow_lag2,ilow_lag1,ilow,ilow_lead1,ilow_lead2,ilow_lead3,wrrw_lag1,lfp,gdpcapita,thecapita,phecapita
Armenia,ARM,1998,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,100,,,,
Armenia,ARM,1999,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,100,47.200001,840.85699,106.75979,30.205118
Armenia,ARM,2000,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,100,47.5,895.59772,127.71595,23.163609
Armenia,ARM,2001,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,100,47.5,986.36151,136.29213,36.431061
Armenia,ARM,2002,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,100,45.299999,1121.174,142.65004,35.900383
Armenia,ARM,2003,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,100,43,1283.2156,170.9041,46.578274
Armenia,ARM,2004,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,100,40.700001,1422.4036,191.40802,48.581974
Armenia,ARM,2005,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,100,38.5,1625.3969,199.10329,60.562225
Armenia,ARM,2006,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,100,36.200001,1847.2731,199.67818,75.839966
Armenia,ARM,2007,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,100,33.900002,2110.415,216.93036,90.178864
Armenia,ARM,2008,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,100,31.700001,2265.4246,229.68959,102.25848
Bangladesh,BGD,1998,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,,,,
Bangladesh,BGD,1999,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,52.700001,336.02838,22.342381,8.9068518
Bangladesh,BGD,2000,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,51.799999,349.50534,24.219629,9.4496975
Bangladesh,BGD,2001,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,51.700001,361.53085,27.127014,10.834889
Bangladesh,BGD,2002,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,100,51.599998,371.22073,29.345671,11.642951
Bangladesh,BGD,2003,12,12,12,12,12,12,16,12,12,12,12,12,12,16,12,12,12,12,12,12,16,100,51.5,384.61304,30.439732,11.459289
Bangladesh,BGD,2004,12,12,12,12,12,16,16,12,12,12,12,12,16,16,12,12,12,12,12,16,16,100,51.5,402.80032,33.698261,13.066752
Bangladesh,BGD,2005,12,12,12,12,16,16,16,12,12,12,12,16,16,16,12,12,12,12,16,16,16,100,51.400002,421.12332,37.36467,13.038989
Bangladesh,BGD,2006,12,12,12,16,16,16,16,12,12,12,16,16,16,16,12,12,12,16,16,16,16,100,51.299999,443.66769,43.021847,15.697827
Bangladesh,BGD,2007,12,12,16,16,16,16,16,12,12,16,16,16,16,16,12,12,16,16,16,16,16,100,51.200001,467.06497,47.405186,16.302532
Bangladesh,BGD,2008,12,16,16,16,16,16,16,12,16,16,16,16,16,16,12,16,16,16,16,16,16,100,51.099998,490.90726,52.098991,18.564644
Bolivia,BOL,1998,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,95,,,,
Bolivia,BOL,1999,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,95,46.5,961.35089,191.11047,111.11819
Bolivia,BOL,2000,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,95,46.400002,965.40753,192.25972,115.53864
Bolivia,BOL,2001,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,95,46.599998,961.98291,203.53903,120.74451
Bolivia,BOL,2002,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,95,46.799999,966.46375,214.99133,135.0594
Bolivia,BOL,2003,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,12.8999996185303,95,47,973.57397,188.65157,113.34084
